key,north_weight,east_weight,south_weight,west_weight
"(33.130435,125.307692)",1,0,2,0
"(33.173913,125.307692)",8,0,2,0
"(33.217391,125.307692)",6,1,6,0
"(33.260870,125.307692)",1,1,0,0
"(33.304348,125.307692)",1,0,2,0
"(33.347826,125.307692)",2,2,1,0
"(33.391304,125.307692)",3,2,0,0
"(33.434783,125.307692)",0,0,0,0
"(33.478261,125.307692)",2,1,1,0
"(33.521739,125.307692)",2,1,1,0
"(33.565217,125.307692)",4,1,0,0
"(33.608696,125.307692)",2,0,1,0
"(33.652174,125.307692)",0,0,0,0
"(33.695652,125.307692)",0,0,0,0
"(33.739130,125.307692)",1,2,0,0
"(33.782609,125.307692)",2,1,0,0
"(33.826087,125.307692)",0,1,0,0
"(33.869565,125.307692)",2,2,0,0
"(33.913043,125.307692)",2,0,0,0
"(33.956522,125.307692)",5,0,0,0
"(34.000000,125.307692)",1,2,0,0
"(34.043478,125.307692)",3,2,3,0
"(34.086957,125.307692)",8,3,4,0
"(34.130435,125.307692)",13,3,2,0
"(34.173913,125.307692)",3,2,0,0
"(34.217391,125.307692)",0,0,0,0
"(34.260870,125.307692)",0,0,0,0
"(34.304348,125.307692)",4,0,0,0
"(34.347826,125.307692)",8,0,0,0
"(34.391304,125.307692)",9,1,2,0
"(34.434783,125.307692)",5,2,1,0
"(34.478261,125.307692)",4,0,0,0
"(34.521739,125.307692)",1,1,1,0
"(34.565217,125.307692)",4,3,1,0
"(34.608696,125.307692)",6,4,0,0
"(34.652174,125.307692)",7,3,2,0
"(34.695652,125.307692)",3,1,2,0
"(34.739130,125.307692)",1,0,1,0
"(34.782609,125.307692)",1,0,2,0
"(34.826087,125.307692)",1,0,2,0
"(34.869565,125.307692)",1,0,2,0
"(34.913043,125.307692)",1,0,2,0
"(34.956522,125.307692)",2,2,1,0
"(35.000000,125.307692)",4,4,1,0
"(35.043478,125.307692)",4,5,1,0
"(35.086957,125.307692)",5,4,2,0
"(35.130435,125.307692)",5,3,2,0
"(35.173913,125.307692)",4,1,2,0
"(35.217391,125.307692)",5,1,1,0
"(35.260870,125.307692)",3,2,3,0
"(35.304348,125.307692)",3,2,3,0
"(35.347826,125.307692)",4,2,4,0
"(35.391304,125.307692)",3,0,5,0
"(35.434783,125.307692)",5,0,4,0
"(35.478261,125.307692)",2,0,7,0
"(35.521739,125.307692)",2,0,5,0
"(35.565217,125.307692)",1,0,2,0
"(35.608696,125.307692)",2,0,1,0
"(35.652174,125.307692)",4,0,1,0
"(35.695652,125.307692)",2,0,1,0
"(35.739130,125.307692)",1,0,1,0
"(35.782609,125.307692)",1,0,0,0
"(35.826087,125.307692)",1,0,0,0
"(35.869565,125.307692)",0,0,0,0
"(35.913043,125.307692)",0,0,0,0
"(35.956522,125.307692)",0,0,0,0
"(32.000000,125.358974)",21,0,1,0
"(32.043478,125.358974)",36,0,4,0
"(32.086957,125.358974)",7,0,2,0
"(32.130435,125.358974)",7,0,2,0
"(32.173913,125.358974)",1,2,2,0
"(32.217391,125.358974)",0,0,0,0
"(32.260870,125.358974)",0,0,2,0
"(32.304348,125.358974)",0,0,2,0
"(32.347826,125.358974)",4,2,2,0
"(32.391304,125.358974)",4,0,4,0
"(32.434783,125.358974)",4,0,2,0
"(32.478261,125.358974)",2,0,1,0
"(32.521739,125.358974)",0,1,0,0
"(32.565217,125.358974)",0,0,1,0
"(32.608696,125.358974)",1,0,1,0
